"","par1","par2","par3","par4","par5","par6","par7","par8","par9","part10","par11","par12","meanGroup","facesDisplayTime","maskTime","groupChoice","id","trial","faceIdentity","SD","realSD","rating","rt","image","condition","condition1","music.rock","music.pop","live.city","live.town","eat.icecream","eat.hamburger","time.beach","time.pool","pet.cat","pat.dog","X30","threatSimilar","threatDifferent","immoralSimilar","immoralDifferent","selectionPrinciple","selectionNoWhy","selectionYesWhy","groupPrecentEstimate","iden1","iden2","iden3","iden4","iden5","ntb1","ntb2","ntb3","ntb4","ntb5","ntb6","ntb7","ntb8","ntb9","ntb10","enviroDifRace","enviroDifSes","enviroDifPoli","sd1","sd2","sd3","sd4","sd5","sd6","sd7","sd8","sd9","sd10","sd11","bigFiveExtraverted","bigFiveCritical","bigFiveCons","bigFiveNeuro","bigFiveOpen","bigFiveReserved","bigFiveWarm","bigFiveCareless","bigFiveCalm","bigFiceConventional","poli","age","sex","citizen","citizenText","liveUS","yearsUS","partUS","partUSText","black","latin","white","asian","other","edu","income","identscale","condition_bi","condition_biEffect"
"875",120,128,136,144,142,116,132,122,118,140,124,138,130,1.99247,0.000245758,0,26,18,1,1,9.9453,140,1.95907,11,"low","low",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Different Mean",1
"876",125,145,150,150,134,150,128,148,139,127,135,148,139.917,1.98433,0.000219814,0,26,19,4,1,9.78364,140,1.95046,13,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
"877",150,135,128,127,150,148,125,139,148,145,134,150,139.917,1.99748,0.000232358,0,26,20,2,1,9.78364,140,3.18782,4,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
"878",128,124,136,118,144,116,142,140,120,122,132,138,130,1.99542,0.000217818,1,26,21,1,1,9.9453,140,1.93947,49,"low","low",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Different Mean",1
"879",140,120,136,138,142,118,124,128,122,132,144,116,130,1.98695,0.000211831,0,26,22,2,1,9.9453,140,1.4475,14,"low","low",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Different Mean",1
"880",142,124,130,140,146,122,144,126,138,120,134,118,132,1.99174,0.000446755,0,26,24,1,1,9.9453,132,1.39286,36,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
"881",144,124,128,136,138,140,132,116,120,118,122,142,130,1.99643,0.000243192,0,26,25,3,1,9.9453,140,2.22163,45,"low","low",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Different Mean",1
"882",135,128,148,134,145,150,150,125,150,127,139,148,139.917,1.9884,0.000269137,0,26,26,1,1,9.78364,140,2.02977,27,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
"883",128,125,139,150,150,127,135,148,148,145,150,134,139.917,1.99042,0.00016764,1,26,27,1,1,9.78364,140,1.51073,32,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
"884",139,135,128,125,134,148,127,148,150,150,145,150,139.917,1.98582,0.000219244,0,26,28,4,1,9.78364,140,1.93213,50,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
